=== PlutoBrowser crash log ===
gamePath: unknown
[00:22:09 #1] PlutoBrowser boot (C port of CometBrowser)
[00:22:09 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[00:22:09 #3] [P02] util selftests begin
[00:22:09 #4] [P02] PASS mem.malloc
[00:22:09 #5] [P02] PASS mem.realloc_preserves
[00:22:09 #6] [P02] PASS mem.strdup
[00:22:09 #7] [P02] PASS mem.strndup
[00:22:09 #8] [P02] PASS mem.free_null
[00:22:09 #9] [P02] PASS strbuf.init
[00:22:09 #10] [P02] PASS strbuf.append_str
[00:22:09 #11] [P02] PASS strbuf.append_char
[00:22:09 #12] [P02] PASS strbuf.embedded_nul
[00:22:09 #13] [P02] PASS strbuf.clear_keeps_cap
[00:22:09 #14] [P02] PASS strbuf.printf
[00:22:09 #15] [P02] PASS strbuf.grow_500
[00:22:09 #16] [P02] PASS strbuf.detach
[00:22:09 #17] [P02] PASS strbuf.detach_resets
[00:22:09 #18] [P02] PASS strbuf.free_idempotent
[00:22:09 #19] [P02] PASS dynarray.init
[00:22:09 #20] [P02] PASS dynarray.push_100_grow
[00:22:09 #21] [P02] PASS dynarray.get_mid
[00:22:09 #22] [P02] PASS dynarray.last
[00:22:09 #23] [P02] PASS dynarray.pop
[00:22:09 #24] [P02] PASS dynarray.get_oob_null
[00:22:09 #25] [P02] PASS dynarray.free
[00:22:09 #26] [P02] PASS strmap.create
[00:22:09 #27] [P02] PASS strmap.put_get
[00:22:09 #28] [P02] PASS strmap.replace_value
[00:22:09 #29] [P02] PASS strmap.has_false
[00:22:09 #30] [P02] PASS strmap.get_missing_null
[00:22:09 #31] [P02] PASS strmap.200_keys_rehash
[00:22:09 #32] [P02] PASS strmap.get_after_rehash
[00:22:09 #33] [P02] PASS strmap.remove
[00:22:09 #34] [P02] PASS strmap.remove_twice_false
[00:22:09 #35] [P02] PASS strmap.survivor_intact
[00:22:09 #36] [P02] PASS strmap.foreach_null_fn_safe
[00:22:09 #37] [P02] PASS strmap.destroy
[00:22:09 #38] [P02] PASS lpat.trim_spaces
[00:22:09 #39] [P02] PASS lpat.trim_empty
[00:22:09 #40] [P02] PASS lpat.trim_only_spaces
[00:22:09 #41] [P02] PASS lpat.scheme_split
