=== PlutoBrowser crash log ===
gamePath: unknown
[23:35:50 #1] PlutoBrowser boot (C port of CometBrowser)
[23:35:50 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[23:35:50 #3] [P02] util selftests begin
[23:35:50 #4] [P02] PASS mem.malloc
[23:35:50 #5] [P02] PASS mem.realloc_preserves
[23:35:50 #6] [P02] PASS mem.strdup
[23:35:50 #7] [P02] PASS mem.strndup
[23:35:50 #8] [P02] PASS mem.free_null
[23:35:50 #9] [P02] PASS strbuf.init
[23:35:50 #10] [P02] PASS strbuf.append_str
[23:35:50 #11] [P02] PASS strbuf.append_char
[23:35:50 #12] [P02] PASS strbuf.embedded_nul
[23:35:50 #13] [P02] PASS strbuf.clear_keeps_cap
[23:35:50 #14] [P02] PASS strbuf.printf
[23:35:50 #15] [P02] PASS strbuf.grow_500
[23:35:50 #16] [P02] PASS strbuf.detach
[23:35:50 #17] [P02] PASS strbuf.detach_resets
[23:35:50 #18] [P02] PASS strbuf.free_idempotent
[23:35:50 #19] [P02] PASS dynarray.init
[23:35:50 #20] [P02] PASS dynarray.push_100_grow
[23:35:50 #21] [P02] PASS dynarray.get_mid
[23:35:50 #22] [P02] PASS dynarray.last
[23:35:50 #23] [P02] PASS dynarray.pop
[23:35:50 #24] [P02] PASS dynarray.get_oob_null
[23:35:50 #25] [P02] PASS dynarray.free
[23:35:50 #26] [P02] PASS strmap.create
[23:35:50 #27] [P02] PASS strmap.put_get
[23:35:50 #28] [P02] PASS strmap.replace_value
[23:35:50 #29] [P02] PASS strmap.has_false
[23:35:50 #30] [P02] PASS strmap.get_missing_null
[23:35:50 #31] [P02] PASS strmap.200_keys_rehash
[23:35:50 #32] [P02] PASS strmap.get_after_rehash
[23:35:50 #33] [P02] PASS strmap.remove
[23:35:50 #34] [P02] PASS strmap.remove_twice_false
[23:35:50 #35] [P02] PASS strmap.survivor_intact
[23:35:50 #36] [P02] PASS strmap.foreach_null_fn_safe
[23:35:50 #37] [P02] PASS strmap.destroy
[23:35:50 #38] [P02] PASS lpat.trim_spaces
[23:35:50 #39] [P02] PASS lpat.trim_empty
[23:35:50 #40] [P02] PASS lpat.trim_only_spaces
[23:35:50 #41] [P02] PASS lpat.scheme_split
[23:35:50 #42] [P02] PASS lpat.scheme_no_match
[23:35:50 #43] [P02] PASS lpat.host_path_no_match_lua
[23:35:50 #44] [P02] PASS lpat.host_bare_no_match_lua
[23:35:50 #45] [P02] PASS lpat.host_reject_spaces
[23:35:50 #46] [P02] PASS lpat.host_trailing_qmark_lua
[23:35:50 #47] [P02] PASS lpat.attr_dquote_1
[23:35:50 #48] [P02] PASS lpat.attr_dquote_2
[23:35:50 #49] [P02] PASS lpat.attr_dquote_done
[23:35:50 #50] [P02] PASS lpat.attr_squote_1
[23:35:50 #51] [P02] PASS lpat.attr_squote_2
[23:35:50 #52] [P02] PASS lpat.attr_squote_done
[23:35:50 #53] [P02] PASS lpat.pathcmd_M
[23:35:50 #54] [P02] PASS lpat.pathcmd_L
[23:35:50 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[23:35:50 #56] [P02] PASS lpat.pathcmd_done
[23:35:50 #57] [P02] PASS lpat.entity_named_amp
[23:35:50 #58] [P02] PASS lpat.entity_named_lt
[23:35:50 #59] [P02] PASS lpat.entity_named_skips_dec
[23:35:50 #60] [P02] PASS lpat.entity_decimal
[23:35:50 #61] [P02] PASS lpat.entity_hex_lower_x
[23:35:50 #62] [P02] PASS lpat.entity_hex_upper_X
[23:35:50 #63] [P02] PASS lpat.entity_hex_done
[23:35:50 #64] [P02] PASS lpat.charset_utf8
[23:35:50 #65] [P02] PASS lpat.http_status
[23:35:50 #66] [P02] PASS lpat.meta_refresh_url_upper
[23:35:50 #67] [P02] PASS lpat.meta_refresh_frac
[23:35:50 #68] [P02] PASS lpat.viewbox_four_caps
[23:35:50 #69] [P02] PASS lpat.tag_div_attrs
[23:35:50 #70] [P02] PASS lpat.tag_br_selfclose
[23:35:50 #71] [P02] PASS lpat.tag_close_not_matched
[23:35:50 #72] [P02] PASS lpat.css_prop_lua_truth
[23:35:50 #73] [P02] PASS lpat.cookie_pair
[23:35:50 #74] [P02] PASS lpat.tokens_a
[23:35:50 #75] [P02] PASS lpat.tokens_bb
[23:35:50 #76] [P02] PASS lpat.tokens_ccc
[23:35:50 #77] [P02] PASS lpat.tokens_done
[23:35:50 #78] [P02] PASS lpat.lazy_dash
[23:35:50 #79] [P02] PASS lpat.greedy_star
[23:35:50 #80] [P02] PASS lpat.endpunct_true
[23:35:50 #81] [P02] PASS lpat.endpunct_false
[23:35:50 #82] [P02] PASS lpat.escape_dot
[23:35:50 #83] [P02] PASS lpat.escape_percent
[23:35:50 #84] [P02] PASS lpat.escape_dash_outside_set
[23:35:50 #85] [P02] PASS lpat.gsub_fn_hexdecode
[23:35:50 #86] [P02] PASS lpat.gsub_fn_encode
[23:35:50 #87] [P02] PASS lpat.find_init_offset
[23:35:50 #88] [P02] PASS lpat.find_plain
[23:35:50 #89] [P02] PASS lpat.find_plain_miss
[23:35:50 #90] [P02] PASS lpat.gsub_template_trim
[23:35:50 #91] [P02] PASS lpat.gsub_crlf
[23:35:50 #92] [P02] PASS lpat.gsub_count3
[23:35:50 #93] [P02] PASS lpat.gsub_empty_matches
[23:35:50 #94] [P02] PASS lpat.negclass_A
[23:35:50 #95] [P02] PASS lpat.negclass_done
[23:35:50 #96] [P02] PASS lpat.set_leading_bracket
[23:35:50 #97] [P02] PASS lpat.nul_subject_first
[23:35:50 #98] [P02] PASS lpat.nul_subject_second
[23:35:50 #99] [P02] PASS lpat.nul_subject_done
[23:35:50 #100] [P02] PASS lpat.position_capture
[23:35:50 #101] [P02] PASS lpat.balance
[23:35:50 #102] [P02] PASS lpat.frontier_THE
[23:35:50 #103] [P02] PASS lpat.frontier_quick
[23:35:50 #104] [P02] PASS lpat.frontier_fox
[23:35:50 #105] [P02] PASS lpat.frontier_done
[23:35:50 #106] [P02] PASS lpat.opt_without_u
[23:35:50 #107] [P02] PASS lpat.opt_with_u
[23:35:50 #108] [P02] PASS lpat.ip_anchor_ok
[23:35:50 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[23:35:50 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[23:35:50 #111] [P02] PASS lpat.malformed_set_err
[23:35:50 #112] [P02] PASS json.parse_fixture
[23:35:50 #113] [P02] PASS json.obj_string
[23:35:50 #114] [P02] PASS json.negative_int
[23:35:50 #115] [P02] PASS json.float
[23:35:50 #116] [P02] PASS json.exponent
[23:35:50 #117] [P02] PASS json.bool_true
[23:35:50 #118] [P02] PASS json.null_value
[23:35:50 #119] [P02] PASS json.absent_key
[23:35:50 #120] [P02] PASS json.arr_count
[23:35:50 #121] [P02] PASS json.arr_num
[23:35:50 #122] [P02] PASS json.arr_null_elem
[23:35:50 #123] [P02] PASS json.arr_nested_obj
[23:35:50 #124] [P02] PASS json.escapes_unicode_surrogate
[23:35:50 #125] [P02] PASS json.trailing_data_error
[23:35:50 #126] [P02] PASS json.bad_value_error
[23:35:50 #127] [P02] PASS json.unterminated_error
[23:35:50 #128] [P02] PASS json.roundtrip_parse
[23:35:50 #129] [P02] PASS json.roundtrip_stable
[23:35:50 #130] [P02] PASS json.roundtrip_arr_value
[23:35:50 #131] [P02] PASS json.roundtrip_nested_bool
[23:35:50 #132] [P02] PASS json.obj_set_replace
[23:35:50 #133] [P02] util selftests done: 128 passed, 0 failed
