=== PlutoBrowser crash log ===
gamePath: unknown
[02:30:34 #1] PlutoBrowser boot (C port of CometBrowser)
[02:30:34 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[02:30:34 #3] [P02] util selftests begin
[02:30:34 #4] [P02] PASS mem.malloc
[02:30:34 #5] [P02] PASS mem.realloc_preserves
[02:30:34 #6] [P02] PASS mem.strdup
[02:30:34 #7] [P02] PASS mem.strndup
[02:30:34 #8] [P02] PASS mem.free_null
[02:30:34 #9] [P02] PASS strbuf.init
[02:30:34 #10] [P02] PASS strbuf.append_str
[02:30:34 #11] [P02] PASS strbuf.append_char
[02:30:34 #12] [P02] PASS strbuf.embedded_nul
[02:30:34 #13] [P02] PASS strbuf.clear_keeps_cap
[02:30:34 #14] [P02] PASS strbuf.printf
[02:30:34 #15] [P02] PASS strbuf.grow_500
[02:30:34 #16] [P02] PASS strbuf.detach
[02:30:34 #17] [P02] PASS strbuf.detach_resets
[02:30:34 #18] [P02] PASS strbuf.free_idempotent
[02:30:34 #19] [P02] PASS dynarray.init
[02:30:34 #20] [P02] PASS dynarray.push_100_grow
[02:30:34 #21] [P02] PASS dynarray.get_mid
[02:30:34 #22] [P02] PASS dynarray.last
[02:30:34 #23] [P02] PASS dynarray.pop
[02:30:34 #24] [P02] PASS dynarray.get_oob_null
[02:30:34 #25] [P02] PASS dynarray.free
[02:30:34 #26] [P02] PASS strmap.create
[02:30:34 #27] [P02] PASS strmap.put_get
[02:30:34 #28] [P02] PASS strmap.replace_value
[02:30:34 #29] [P02] PASS strmap.has_false
[02:30:34 #30] [P02] PASS strmap.get_missing_null
[02:30:34 #31] [P02] PASS strmap.200_keys_rehash
[02:30:34 #32] [P02] PASS strmap.get_after_rehash
[02:30:34 #33] [P02] PASS strmap.remove
[02:30:34 #34] [P02] PASS strmap.remove_twice_false
[02:30:34 #35] [P02] PASS strmap.survivor_intact
[02:30:34 #36] [P02] PASS strmap.foreach_null_fn_safe
[02:30:34 #37] [P02] PASS strmap.destroy
[02:30:34 #38] [P02] PASS lpat.trim_spaces
[02:30:34 #39] [P02] PASS lpat.trim_empty
[02:30:34 #40] [P02] PASS lpat.trim_only_spaces
[02:30:34 #41] [P02] PASS lpat.scheme_split
[02:30:34 #42] [P02] PASS lpat.scheme_no_match
[02:30:34 #43] [P02] PASS lpat.host_path_no_match_lua
[02:30:34 #44] [P02] PASS lpat.host_bare_no_match_lua
[02:30:34 #45] [P02] PASS lpat.host_reject_spaces
[02:30:34 #46] [P02] PASS lpat.host_trailing_qmark_lua
[02:30:34 #47] [P02] PASS lpat.attr_dquote_1
[02:30:34 #48] [P02] PASS lpat.attr_dquote_2
[02:30:34 #49] [P02] PASS lpat.attr_dquote_done
