=== PlutoBrowser crash log ===
gamePath: unknown
[19:21:00 #1] PlutoBrowser boot (C port of CometBrowser)
[19:21:00 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[19:21:00 #3] [P02] util selftests begin
[19:21:00 #4] [P02] PASS mem.malloc
[19:21:00 #5] [P02] PASS mem.realloc_preserves
[19:21:00 #6] [P02] PASS mem.strdup
[19:21:00 #7] [P02] PASS mem.strndup
[19:21:00 #8] [P02] PASS mem.free_null
[19:21:00 #9] [P02] PASS strbuf.init
[19:21:00 #10] [P02] PASS strbuf.append_str
[19:21:00 #11] [P02] PASS strbuf.append_char
[19:21:00 #12] [P02] PASS strbuf.embedded_nul
[19:21:00 #13] [P02] PASS strbuf.clear_keeps_cap
[19:21:00 #14] [P02] PASS strbuf.printf
[19:21:00 #15] [P02] PASS strbuf.grow_500
[19:21:00 #16] [P02] PASS strbuf.detach
[19:21:00 #17] [P02] PASS strbuf.detach_resets
[19:21:00 #18] [P02] PASS strbuf.free_idempotent
[19:21:00 #19] [P02] PASS dynarray.init
[19:21:00 #20] [P02] PASS dynarray.push_100_grow
[19:21:00 #21] [P02] PASS dynarray.get_mid
[19:21:00 #22] [P02] PASS dynarray.last
[19:21:00 #23] [P02] PASS dynarray.pop
[19:21:00 #24] [P02] PASS dynarray.get_oob_null
[19:21:00 #25] [P02] PASS dynarray.free
[19:21:00 #26] [P02] PASS strmap.create
[19:21:00 #27] [P02] PASS strmap.put_get
[19:21:00 #28] [P02] PASS strmap.replace_value
[19:21:00 #29] [P02] PASS strmap.has_false
[19:21:00 #30] [P02] PASS strmap.get_missing_null
[19:21:00 #31] [P02] PASS strmap.200_keys_rehash
[19:21:00 #32] [P02] PASS strmap.get_after_rehash
[19:21:00 #33] [P02] PASS strmap.remove
[19:21:00 #34] [P02] PASS strmap.remove_twice_false
[19:21:00 #35] [P02] PASS strmap.survivor_intact
[19:21:00 #36] [P02] PASS strmap.foreach_null_fn_safe
[19:21:00 #37] [P02] PASS strmap.destroy
[19:21:00 #38] [P02] PASS lpat.trim_spaces
[19:21:00 #39] [P02] PASS lpat.trim_empty
[19:21:00 #40] [P02] PASS lpat.trim_only_spaces
[19:21:00 #41] [P02] PASS lpat.scheme_split
[19:21:00 #42] [P02] PASS lpat.scheme_no_match
[19:21:00 #43] [P02] PASS lpat.host_path_no_match_lua
[19:21:00 #44] [P02] PASS lpat.host_bare_no_match_lua
[19:21:00 #45] [P02] PASS lpat.host_reject_spaces
[19:21:00 #46] [P02] PASS lpat.host_trailing_qmark_lua
[19:21:00 #47] [P02] PASS lpat.attr_dquote_1
[19:21:00 #48] [P02] PASS lpat.attr_dquote_2
[19:21:00 #49] [P02] PASS lpat.attr_dquote_done
[19:21:00 #50] [P02] PASS lpat.attr_squote_1
[19:21:00 #51] [P02] PASS lpat.attr_squote_2
[19:21:00 #52] [P02] PASS lpat.attr_squote_done
[19:21:00 #53] [P02] PASS lpat.pathcmd_M
[19:21:00 #54] [P02] PASS lpat.pathcmd_L
[19:21:00 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[19:21:00 #56] [P02] PASS lpat.pathcmd_done
[19:21:00 #57] [P02] PASS lpat.entity_named_amp
[19:21:00 #58] [P02] PASS lpat.entity_named_lt
[19:21:00 #59] [P02] PASS lpat.entity_named_skips_dec
[19:21:00 #60] [P02] PASS lpat.entity_decimal
[19:21:00 #61] [P02] PASS lpat.entity_hex_lower_x
[19:21:00 #62] [P02] PASS lpat.entity_hex_upper_X
[19:21:00 #63] [P02] PASS lpat.entity_hex_done
[19:21:00 #64] [P02] PASS lpat.charset_utf8
[19:21:00 #65] [P02] PASS lpat.http_status
[19:21:00 #66] [P02] PASS lpat.meta_refresh_url_upper
[19:21:00 #67] [P02] PASS lpat.meta_refresh_frac
[19:21:00 #68] [P02] PASS lpat.viewbox_four_caps
[19:21:00 #69] [P02] PASS lpat.tag_div_attrs
[19:21:00 #70] [P02] PASS lpat.tag_br_selfclose
[19:21:00 #71] [P02] PASS lpat.tag_close_not_matched
[19:21:00 #72] [P02] PASS lpat.css_prop_lua_truth
[19:21:00 #73] [P02] PASS lpat.cookie_pair
[19:21:00 #74] [P02] PASS lpat.tokens_a
[19:21:00 #75] [P02] PASS lpat.tokens_bb
[19:21:00 #76] [P02] PASS lpat.tokens_ccc
[19:21:00 #77] [P02] PASS lpat.tokens_done
[19:21:00 #78] [P02] PASS lpat.lazy_dash
[19:21:00 #79] [P02] PASS lpat.greedy_star
[19:21:00 #80] [P02] PASS lpat.endpunct_true
[19:21:00 #81] [P02] PASS lpat.endpunct_false
[19:21:00 #82] [P02] PASS lpat.escape_dot
[19:21:00 #83] [P02] PASS lpat.escape_percent
[19:21:00 #84] [P02] PASS lpat.escape_dash_outside_set
[19:21:00 #85] [P02] PASS lpat.gsub_fn_hexdecode
[19:21:00 #86] [P02] PASS lpat.gsub_fn_encode
[19:21:00 #87] [P02] PASS lpat.find_init_offset
[19:21:00 #88] [P02] PASS lpat.find_plain
[19:21:00 #89] [P02] PASS lpat.find_plain_miss
[19:21:00 #90] [P02] PASS lpat.gsub_template_trim
[19:21:00 #91] [P02] PASS lpat.gsub_crlf
[19:21:00 #92] [P02] PASS lpat.gsub_count3
[19:21:00 #93] [P02] PASS lpat.gsub_empty_matches
[19:21:00 #94] [P02] PASS lpat.negclass_A
[19:21:00 #95] [P02] PASS lpat.negclass_done
[19:21:00 #96] [P02] PASS lpat.set_leading_bracket
[19:21:00 #97] [P02] PASS lpat.nul_subject_first
[19:21:00 #98] [P02] PASS lpat.nul_subject_second
[19:21:00 #99] [P02] PASS lpat.nul_subject_done
[19:21:00 #100] [P02] PASS lpat.position_capture
[19:21:00 #101] [P02] PASS lpat.balance
[19:21:00 #102] [P02] PASS lpat.frontier_THE
[19:21:00 #103] [P02] PASS lpat.frontier_quick
[19:21:00 #104] [P02] PASS lpat.frontier_fox
[19:21:00 #105] [P02] PASS lpat.frontier_done
[19:21:00 #106] [P02] PASS lpat.opt_without_u
[19:21:00 #107] [P02] PASS lpat.opt_with_u
[19:21:00 #108] [P02] PASS lpat.ip_anchor_ok
[19:21:00 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[19:21:00 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[19:21:00 #111] [P02] PASS lpat.malformed_set_err
[19:21:00 #112] [P02] PASS json.parse_fixture
[19:21:00 #113] [P02] PASS json.obj_string
[19:21:00 #114] [P02] PASS json.negative_int
[19:21:00 #115] [P02] PASS json.float
[19:21:00 #116] [P02] PASS json.exponent
[19:21:00 #117] [P02] PASS json.bool_true
[19:21:00 #118] [P02] PASS json.null_value
[19:21:00 #119] [P02] PASS json.absent_key
[19:21:00 #120] [P02] PASS json.arr_count
[19:21:00 #121] [P02] PASS json.arr_num
[19:21:00 #122] [P02] PASS json.arr_null_elem
[19:21:00 #123] [P02] PASS json.arr_nested_obj
[19:21:00 #124] [P02] PASS json.escapes_unicode_surrogate
[19:21:00 #125] [P02] PASS json.trailing_data_error
[19:21:00 #126] [P02] PASS json.bad_value_error
[19:21:00 #127] [P02] PASS json.unterminated_error
[19:21:00 #128] [P02] PASS json.roundtrip_parse
