=== PlutoBrowser crash log ===
gamePath: unknown
[00:03:02 #1] PlutoBrowser boot (C port of CometBrowser)
[00:03:02 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[00:03:02 #3] [P02] util selftests begin
[00:03:02 #4] [P02] PASS mem.malloc
[00:03:02 #5] [P02] PASS mem.realloc_preserves
[00:03:02 #6] [P02] PASS mem.strdup
[00:03:02 #7] [P02] PASS mem.strndup
[00:03:02 #8] [P02] PASS mem.free_null
[00:03:02 #9] [P02] PASS strbuf.init
[00:03:02 #10] [P02] PASS strbuf.append_str
[00:03:02 #11] [P02] PASS strbuf.append_char
[00:03:02 #12] [P02] PASS strbuf.embedded_nul
[00:03:02 #13] [P02] PASS strbuf.clear_keeps_cap
[00:03:02 #14] [P02] PASS strbuf.printf
[00:03:02 #15] [P02] PASS strbuf.grow_500
[00:03:02 #16] [P02] PASS strbuf.detach
[00:03:02 #17] [P02] PASS strbuf.detach_resets
[00:03:02 #18] [P02] PASS strbuf.free_idempotent
[00:03:02 #19] [P02] PASS dynarray.init
[00:03:02 #20] [P02] PASS dynarray.push_100_grow
[00:03:02 #21] [P02] PASS dynarray.get_mid
[00:03:02 #22] [P02] PASS dynarray.last
[00:03:02 #23] [P02] PASS dynarray.pop
[00:03:02 #24] [P02] PASS dynarray.get_oob_null
[00:03:02 #25] [P02] PASS dynarray.free
[00:03:02 #26] [P02] PASS strmap.create
[00:03:02 #27] [P02] PASS strmap.put_get
[00:03:02 #28] [P02] PASS strmap.replace_value
[00:03:02 #29] [P02] PASS strmap.has_false
[00:03:02 #30] [P02] PASS strmap.get_missing_null
[00:03:02 #31] [P02] PASS strmap.200_keys_rehash
[00:03:02 #32] [P02] PASS strmap.get_after_rehash
[00:03:02 #33] [P02] PASS strmap.remove
[00:03:02 #34] [P02] PASS strmap.remove_twice_false
[00:03:02 #35] [P02] PASS strmap.survivor_intact
[00:03:02 #36] [P02] PASS strmap.foreach_null_fn_safe
[00:03:02 #37] [P02] PASS strmap.destroy
[00:03:02 #38] [P02] PASS lpat.trim_spaces
[00:03:02 #39] [P02] PASS lpat.trim_empty
[00:03:02 #40] [P02] PASS lpat.trim_only_spaces
[00:03:02 #41] [P02] PASS lpat.scheme_split
[00:03:02 #42] [P02] PASS lpat.scheme_no_match
[00:03:02 #43] [P02] PASS lpat.host_path_no_match_lua
[00:03:02 #44] [P02] PASS lpat.host_bare_no_match_lua
[00:03:02 #45] [P02] PASS lpat.host_reject_spaces
[00:03:02 #46] [P02] PASS lpat.host_trailing_qmark_lua
[00:03:02 #47] [P02] PASS lpat.attr_dquote_1
[00:03:02 #48] [P02] PASS lpat.attr_dquote_2
[00:03:02 #49] [P02] PASS lpat.attr_dquote_done
[00:03:02 #50] [P02] PASS lpat.attr_squote_1
[00:03:02 #51] [P02] PASS lpat.attr_squote_2
[00:03:02 #52] [P02] PASS lpat.attr_squote_done
[00:03:02 #53] [P02] PASS lpat.pathcmd_M
[00:03:02 #54] [P02] PASS lpat.pathcmd_L
[00:03:02 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[00:03:02 #56] [P02] PASS lpat.pathcmd_done
[00:03:02 #57] [P02] PASS lpat.entity_named_amp
[00:03:02 #58] [P02] PASS lpat.entity_named_lt
[00:03:02 #59] [P02] PASS lpat.entity_named_skips_dec
[00:03:02 #60] [P02] PASS lpat.entity_decimal
[00:03:02 #61] [P02] PASS lpat.entity_hex_lower_x
[00:03:02 #62] [P02] PASS lpat.entity_hex_upper_X
[00:03:02 #63] [P02] PASS lpat.entity_hex_done
[00:03:02 #64] [P02] PASS lpat.charset_utf8
[00:03:02 #65] [P02] PASS lpat.http_status
[00:03:02 #66] [P02] PASS lpat.meta_refresh_url_upper
[00:03:02 #67] [P02] PASS lpat.meta_refresh_frac
[00:03:02 #68] [P02] PASS lpat.viewbox_four_caps
[00:03:02 #69] [P02] PASS lpat.tag_div_attrs
[00:03:02 #70] [P02] PASS lpat.tag_br_selfclose
[00:03:02 #71] [P02] PASS lpat.tag_close_not_matched
[00:03:02 #72] [P02] PASS lpat.css_prop_lua_truth
[00:03:02 #73] [P02] PASS lpat.cookie_pair
[00:03:02 #74] [P02] PASS lpat.tokens_a
[00:03:02 #75] [P02] PASS lpat.tokens_bb
[00:03:02 #76] [P02] PASS lpat.tokens_ccc
[00:03:02 #77] [P02] PASS lpat.tokens_done
[00:03:02 #78] [P02] PASS lpat.lazy_dash
[00:03:02 #79] [P02] PASS lpat.greedy_star
[00:03:02 #80] [P02] PASS lpat.endpunct_true
[00:03:02 #81] [P02] PASS lpat.endpunct_false
[00:03:02 #82] [P02] PASS lpat.escape_dot
[00:03:02 #83] [P02] PASS lpat.escape_percent
[00:03:02 #84] [P02] PASS lpat.escape_dash_outside_set
[00:03:02 #85] [P02] PASS lpat.gsub_fn_hexdecode
[00:03:02 #86] [P02] PASS lpat.gsub_fn_encode
[00:03:02 #87] [P02] PASS lpat.find_init_offset
[00:03:02 #88] [P02] PASS lpat.find_plain
[00:03:02 #89] [P02] PASS lpat.find_plain_miss
[00:03:02 #90] [P02] PASS lpat.gsub_template_trim
[00:03:02 #91] [P02] PASS lpat.gsub_crlf
[00:03:02 #92] [P02] PASS lpat.gsub_count3
[00:03:02 #93] [P02] PASS lpat.gsub_empty_matches
[00:03:02 #94] [P02] PASS lpat.negclass_A
[00:03:02 #95] [P02] PASS lpat.negclass_done
[00:03:02 #96] [P02] PASS lpat.set_leading_bracket
[00:03:02 #97] [P02] PASS lpat.nul_subject_first
[00:03:02 #98] [P02] PASS lpat.nul_subject_second
[00:03:02 #99] [P02] PASS lpat.nul_subject_done
[00:03:02 #100] [P02] PASS lpat.position_capture
[00:03:02 #101] [P02] PASS lpat.balance
[00:03:02 #102] [P02] PASS lpat.frontier_THE
[00:03:02 #103] [P02] PASS lpat.frontier_quick
[00:03:02 #104] [P02] PASS lpat.frontier_fox
[00:03:02 #105] [P02] PASS lpat.frontier_done
[00:03:02 #106] [P02] PASS lpat.opt_without_u
[00:03:02 #107] [P02] PASS lpat.opt_with_u
[00:03:02 #108] [P02] PASS lpat.ip_anchor_ok
[00:03:02 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[00:03:02 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[00:03:02 #111] [P02] PASS lpat.malformed_set_err
[00:03:02 #112] [P02] PASS json.parse_fixture
[00:03:02 #113] [P02] PASS json.obj_string
[00:03:02 #114] [P02] PASS json.negative_int
[00:03:02 #115] [P02] PASS json.float
[00:03:02 #116] [P02] PASS json.exponent
[00:03:02 #117] [P02] PASS json.bool_true
[00:03:02 #118] [P02] PASS json.null_value
[00:03:02 #119] [P02] PASS json.absent_key
[00:03:02 #120] [P02] PASS json.arr_count
[00:03:02 #121] [P02] PASS json.arr_num
[00:03:02 #122] [P02] PASS json.arr_null_elem
[00:03:02 #123] [P02] PASS json.arr_nested_obj
[00:03:02 #124] [P02] PASS json.escapes_unicode_surrogate
[00:03:02 #125] [P02] PASS json.trailing_data_error
[00:03:02 #126] [P02] PASS json.bad_value_error
[00:03:02 #127] [P02] PASS json.unterminated_error
[00:03:02 #128] [P02] PASS json.roundtrip_parse
[00:03:02 #129] [P02] PASS json.roundtrip_stable
[00:03:02 #130] [P02] PASS json.roundtrip_arr_value
[00:03:02 #131] [P02] PASS json.roundtrip_nested_bool
[00:03:02 #132] [P02] PASS json.obj_set_replace
[00:03:02 #133] [P02] util selftests done: 128 passed, 0 failed
[00:03:02 #134] [P03] url selftests begin
[00:03:02 #135] [P03] PASS url.parse.empty
[00:03:02 #136] [P03] PASS url.parse.https_host
[00:03:02 #137] [P03] PASS url.parse.full
[00:03:02 #138] [P03] PASS url.parse.no_scheme
[00:03:02 #139] [P03] PASS url.parse.empty_host
[00:03:02 #140] [P03] PASS url.parse.ftp_custom_port
[00:03:02 #141] [P03] PASS url.parse.userinfo_quirk
[00:03:02 #142] [P03] PASS url.parse.colon_empty_port
[00:03:02 #143] [P03] PASS url.parse.port_zero
[00:03:02 #144] [P03] PASS url.parse.spaces_trimmed
[00:03:02 #145] [P03] PASS url.parse.about_blank
[00:03:02 #146] [P03] PASS url.parse.about_home
[00:03:02 #147] [P03] PASS url.parse.case_fold
[00:03:02 #148] [P03] PASS url.parse.ip_host
[00:03:02 #149] [P03] PASS url.parse.raw_trimmed
[00:03:02 #150] [P03] PASS url.parse.junk_port_ignored
[00:03:02 #151] [P03] PASS enc.plain
[00:03:02 #152] [P03] PASS enc.specials
[00:03:02 #153] [P03] PASS enc.unreserved_kept
[00:03:02 #154] [P03] PASS enc.plus_encoded
[00:03:02 #155] [P03] PASS enc.utf8
[00:03:02 #156] [P03] PASS enc.percent_literal
[00:03:02 #157] [P03] PASS enc.newline_crlf
[00:03:02 #158] [P03] PASS enc.empty
[00:03:02 #159] [P03] PASS dec.plus_space
[00:03:02 #160] [P03] PASS dec.pct_utf8
[00:03:02 #161] [P03] PASS dec.mixed
[00:03:02 #162] [P03] PASS dec.invalid_pct_kept
[00:03:02 #163] [P03] PASS dec.truncated_pct_kept
[00:03:02 #164] [P03] PASS dec.empty
[00:03:02 #165] [P03] PASS url.roundtrip
[00:03:02 #166] [P03] PASS isq.null_false
[00:03:02 #167] [P03] PASS isq.empty_false
[00:03:02 #168] [P03] PASS isq.spaces_query
[00:03:02 #169] [P03] PASS isq.dot_url
[00:03:02 #170] [P03] PASS isq.bare_word_query
[00:03:02 #171] [P03] PASS isq.leading_dot_query
[00:03:02 #172] [P03] PASS isq.trailing_dot_query
[00:03:02 #173] [P03] PASS isq.ip_url
[00:03:02 #174] [P03] PASS isq.localhost_url
[00:03:02 #175] [P03] PASS isq.localhost_suffix_url
[00:03:02 #176] [P03] PASS isq.https_url
[00:03:02 #177] [P03] PASS isq.about_url
[00:03:02 #178] [P03] PASS isq.file_url
[00:03:02 #179] [P03] PASS isq.spaces_only_is_query
[00:03:02 #180] [P03] PASS isq.upper_scheme_via_dot_rule
[00:03:02 #181] [P03] PASS isq.trimmed_before_dot_rule
[00:03:02 #182] [P03] PASS unwrap.ddg_uddg
[00:03:02 #183] [P03] PASS unwrap.non_ddg_false
[00:03:02 #184] [P03] PASS wrap.missing_uddg_false
[00:03:02 #185] [P03] PASS resolve.same_dir
[00:03:02 #186] [P03] PASS resolve.subdir
[00:03:02 #187] [P03] PASS resolve.root_rel
[00:03:02 #188] [P03] PASS resolve.protocol_relative
[00:03:02 #189] [P03] PASS resolve.anchor
[00:03:02 #190] [P03] PASS resolve.query_only
[00:03:02 #191] [P03] PASS resolve.custom_port_base
[00:03:02 #192] [P03] PASS resolve.anchor_keeps_query
[00:03:02 #193] [P03] PASS resolve.query_replaces
[00:03:02 #194] [P03] PASS resolve.dot_slash
[00:03:02 #195] [P03] PASS resolve.dotdot
[00:03:02 #196] [P03] PASS resolve.dotdot_clamped_root
[00:03:02 #197] [P03] PASS resolve.deep_beyond_root_dropped
[00:03:02 #198] [P03] PASS resolve.about_passthrough
[00:03:02 #199] [P03] PASS resolve.data_passthrough
[00:03:02 #200] [P03] PASS resolve.js_passthrough
[00:03:02 #201] [P03] PASS resolve.absolute_verbatim_case
[00:03:02 #202] [P03] PASS resolve.mailto_not_special
[00:03:02 #203] [P03] PASS resolve.empty_returns_base
[00:03:02 #204] [P03] PASS searchurl.ddg
[00:03:02 #205] [P03] url selftests done: 70 passed, 0 failed
[00:03:02 #206] [P04] storage+cookiejar selftests begin
[00:03:02 #207] [P04] PASS ts.epoch1970
[00:03:02 #208] [P04] PASS ts.bttf2015
[00:03:02 #209] [P04] PASS ts.leap2000feb29
[00:03:02 #210] [P04] PASS ts.neg1969
[00:03:02 #211] [P04] PASS ts.clamp_month0
[00:03:02 #212] [P04] PASS ts.clamp_month13
[00:03:02 #213] [P04] PASS ts.clamp_year_neg
[00:03:02 #214] [P04] PASS ts.clamp_day0
[00:03:02 #215] [P04] PASS ts.floor_frac
[00:03:02 #216] [P04] PASS ts.frac_hour
[00:03:02 #217] [P04] PASS ts.nil_hms_zeroed
[00:03:02 #218] [P04] PASS date.imf_fixdate
[00:03:02 #219] [P04] PASS date.rfc850_4digit
[00:03:02 #220] [P04] PASS date.rfc850_2digit
[00:03:02 #221] [P04] PASS date.rfc850_pivot69
[00:03:02 #222] [P04] PASS date.asctime_dblspace_nil
[00:03:02 #223] [P04] PASS date.asctime_single_space
[00:03:02 #224] [P04] PASS date.lowercase_month_nil
[00:03:02 #225] [P04] PASS date.garbage_nil
[00:03:02 #226] [P04] PASS date.trailing_junk_ok
