=== PlutoBrowser crash log ===
gamePath: unknown
[00:11:26 #1] PlutoBrowser boot (C port of CometBrowser)
[00:11:26 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[00:11:26 #3] [P02] util selftests begin
[00:11:26 #4] [P02] PASS mem.malloc
[00:11:26 #5] [P02] PASS mem.realloc_preserves
[00:11:26 #6] [P02] PASS mem.strdup
[00:11:26 #7] [P02] PASS mem.strndup
[00:11:26 #8] [P02] PASS mem.free_null
[00:11:26 #9] [P02] PASS strbuf.init
[00:11:26 #10] [P02] PASS strbuf.append_str
[00:11:26 #11] [P02] PASS strbuf.append_char
[00:11:26 #12] [P02] PASS strbuf.embedded_nul
[00:11:26 #13] [P02] PASS strbuf.clear_keeps_cap
[00:11:26 #14] [P02] PASS strbuf.printf
[00:11:26 #15] [P02] PASS strbuf.grow_500
[00:11:26 #16] [P02] PASS strbuf.detach
[00:11:26 #17] [P02] PASS strbuf.detach_resets
[00:11:26 #18] [P02] PASS strbuf.free_idempotent
[00:11:26 #19] [P02] PASS dynarray.init
[00:11:26 #20] [P02] PASS dynarray.push_100_grow
[00:11:26 #21] [P02] PASS dynarray.get_mid
[00:11:26 #22] [P02] PASS dynarray.last
[00:11:26 #23] [P02] PASS dynarray.pop
[00:11:26 #24] [P02] PASS dynarray.get_oob_null
[00:11:26 #25] [P02] PASS dynarray.free
[00:11:26 #26] [P02] PASS strmap.create
[00:11:26 #27] [P02] PASS strmap.put_get
[00:11:26 #28] [P02] PASS strmap.replace_value
[00:11:26 #29] [P02] PASS strmap.has_false
[00:11:26 #30] [P02] PASS strmap.get_missing_null
[00:11:26 #31] [P02] PASS strmap.200_keys_rehash
[00:11:26 #32] [P02] PASS strmap.get_after_rehash
[00:11:26 #33] [P02] PASS strmap.remove
[00:11:26 #34] [P02] PASS strmap.remove_twice_false
[00:11:26 #35] [P02] PASS strmap.survivor_intact
[00:11:26 #36] [P02] PASS strmap.foreach_null_fn_safe
[00:11:26 #37] [P02] PASS strmap.destroy
[00:11:26 #38] [P02] PASS lpat.trim_spaces
[00:11:26 #39] [P02] PASS lpat.trim_empty
[00:11:26 #40] [P02] PASS lpat.trim_only_spaces
[00:11:26 #41] [P02] PASS lpat.scheme_split
[00:11:26 #42] [P02] PASS lpat.scheme_no_match
[00:11:26 #43] [P02] PASS lpat.host_path_no_match_lua
[00:11:26 #44] [P02] PASS lpat.host_bare_no_match_lua
[00:11:26 #45] [P02] PASS lpat.host_reject_spaces
[00:11:26 #46] [P02] PASS lpat.host_trailing_qmark_lua
[00:11:26 #47] [P02] PASS lpat.attr_dquote_1
[00:11:26 #48] [P02] PASS lpat.attr_dquote_2
[00:11:26 #49] [P02] PASS lpat.attr_dquote_done
[00:11:26 #50] [P02] PASS lpat.attr_squote_1
[00:11:26 #51] [P02] PASS lpat.attr_squote_2
[00:11:26 #52] [P02] PASS lpat.attr_squote_done
[00:11:26 #53] [P02] PASS lpat.pathcmd_M
[00:11:26 #54] [P02] PASS lpat.pathcmd_L
[00:11:26 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[00:11:26 #56] [P02] PASS lpat.pathcmd_done
[00:11:26 #57] [P02] PASS lpat.entity_named_amp
[00:11:26 #58] [P02] PASS lpat.entity_named_lt
[00:11:26 #59] [P02] PASS lpat.entity_named_skips_dec
[00:11:26 #60] [P02] PASS lpat.entity_decimal
[00:11:26 #61] [P02] PASS lpat.entity_hex_lower_x
[00:11:26 #62] [P02] PASS lpat.entity_hex_upper_X
[00:11:26 #63] [P02] PASS lpat.entity_hex_done
[00:11:26 #64] [P02] PASS lpat.charset_utf8
[00:11:26 #65] [P02] PASS lpat.http_status
[00:11:26 #66] [P02] PASS lpat.meta_refresh_url_upper
[00:11:26 #67] [P02] PASS lpat.meta_refresh_frac
[00:11:26 #68] [P02] PASS lpat.viewbox_four_caps
[00:11:26 #69] [P02] PASS lpat.tag_div_attrs
[00:11:26 #70] [P02] PASS lpat.tag_br_selfclose
[00:11:26 #71] [P02] PASS lpat.tag_close_not_matched
[00:11:26 #72] [P02] PASS lpat.css_prop_lua_truth
[00:11:26 #73] [P02] PASS lpat.cookie_pair
[00:11:26 #74] [P02] PASS lpat.tokens_a
[00:11:26 #75] [P02] PASS lpat.tokens_bb
[00:11:26 #76] [P02] PASS lpat.tokens_ccc
[00:11:26 #77] [P02] PASS lpat.tokens_done
[00:11:26 #78] [P02] PASS lpat.lazy_dash
[00:11:26 #79] [P02] PASS lpat.greedy_star
[00:11:26 #80] [P02] PASS lpat.endpunct_true
[00:11:26 #81] [P02] PASS lpat.endpunct_false
[00:11:26 #82] [P02] PASS lpat.escape_dot
[00:11:26 #83] [P02] PASS lpat.escape_percent
[00:11:26 #84] [P02] PASS lpat.escape_dash_outside_set
[00:11:26 #85] [P02] PASS lpat.gsub_fn_hexdecode
[00:11:26 #86] [P02] PASS lpat.gsub_fn_encode
[00:11:26 #87] [P02] PASS lpat.find_init_offset
[00:11:26 #88] [P02] PASS lpat.find_plain
[00:11:26 #89] [P02] PASS lpat.find_plain_miss
[00:11:26 #90] [P02] PASS lpat.gsub_template_trim
[00:11:26 #91] [P02] PASS lpat.gsub_crlf
[00:11:26 #92] [P02] PASS lpat.gsub_count3
[00:11:26 #93] [P02] PASS lpat.gsub_empty_matches
[00:11:26 #94] [P02] PASS lpat.negclass_A
[00:11:26 #95] [P02] PASS lpat.negclass_done
[00:11:26 #96] [P02] PASS lpat.set_leading_bracket
[00:11:26 #97] [P02] PASS lpat.nul_subject_first
[00:11:26 #98] [P02] PASS lpat.nul_subject_second
[00:11:26 #99] [P02] PASS lpat.nul_subject_done
[00:11:26 #100] [P02] PASS lpat.position_capture
[00:11:26 #101] [P02] PASS lpat.balance
[00:11:26 #102] [P02] PASS lpat.frontier_THE
[00:11:26 #103] [P02] PASS lpat.frontier_quick
[00:11:26 #104] [P02] PASS lpat.frontier_fox
[00:11:26 #105] [P02] PASS lpat.frontier_done
[00:11:26 #106] [P02] PASS lpat.opt_without_u
[00:11:26 #107] [P02] PASS lpat.opt_with_u
[00:11:26 #108] [P02] PASS lpat.ip_anchor_ok
[00:11:26 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[00:11:26 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[00:11:26 #111] [P02] PASS lpat.malformed_set_err
[00:11:26 #112] [P02] PASS json.parse_fixture
[00:11:26 #113] [P02] PASS json.obj_string
[00:11:26 #114] [P02] PASS json.negative_int
[00:11:26 #115] [P02] PASS json.float
[00:11:26 #116] [P02] PASS json.exponent
[00:11:26 #117] [P02] PASS json.bool_true
[00:11:26 #118] [P02] PASS json.null_value
[00:11:26 #119] [P02] PASS json.absent_key
[00:11:26 #120] [P02] PASS json.arr_count
[00:11:26 #121] [P02] PASS json.arr_num
[00:11:26 #122] [P02] PASS json.arr_null_elem
[00:11:26 #123] [P02] PASS json.arr_nested_obj
[00:11:26 #124] [P02] PASS json.escapes_unicode_surrogate
[00:11:26 #125] [P02] PASS json.trailing_data_error
[00:11:26 #126] [P02] PASS json.bad_value_error
[00:11:26 #127] [P02] PASS json.unterminated_error
[00:11:26 #128] [P02] PASS json.roundtrip_parse
[00:11:26 #129] [P02] PASS json.roundtrip_stable
[00:11:26 #130] [P02] PASS json.roundtrip_arr_value
[00:11:26 #131] [P02] PASS json.roundtrip_nested_bool
[00:11:26 #132] [P02] PASS json.obj_set_replace
[00:11:26 #133] [P02] util selftests done: 128 passed, 0 failed
[00:11:26 #134] [P03] url selftests begin
[00:11:26 #135] [P03] PASS url.parse.empty
[00:11:26 #136] [P03] PASS url.parse.https_host
[00:11:26 #137] [P03] PASS url.parse.full
[00:11:26 #138] [P03] PASS url.parse.no_scheme
[00:11:26 #139] [P03] PASS url.parse.empty_host
[00:11:26 #140] [P03] PASS url.parse.ftp_custom_port
[00:11:26 #141] [P03] PASS url.parse.userinfo_quirk
[00:11:26 #142] [P03] PASS url.parse.colon_empty_port
[00:11:26 #143] [P03] PASS url.parse.port_zero
[00:11:26 #144] [P03] PASS url.parse.spaces_trimmed
[00:11:26 #145] [P03] PASS url.parse.about_blank
[00:11:26 #146] [P03] PASS url.parse.about_home
[00:11:26 #147] [P03] PASS url.parse.case_fold
[00:11:26 #148] [P03] PASS url.parse.ip_host
[00:11:26 #149] [P03] PASS url.parse.raw_trimmed
[00:11:26 #150] [P03] PASS url.parse.junk_port_ignored
[00:11:26 #151] [P03] PASS enc.plain
[00:11:26 #152] [P03] PASS enc.specials
[00:11:26 #153] [P03] PASS enc.unreserved_kept
[00:11:26 #154] [P03] PASS enc.plus_encoded
[00:11:26 #155] [P03] PASS enc.utf8
[00:11:26 #156] [P03] PASS enc.percent_literal
[00:11:26 #157] [P03] PASS enc.newline_crlf
