=== PlutoBrowser crash log ===
gamePath: unknown
[22:48:40 #1] PlutoBrowser boot (C port of CometBrowser)
[22:48:40 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[22:48:40 #3] [P02] util selftests begin
[22:48:40 #4] [P02] PASS mem.malloc
[22:48:40 #5] [P02] PASS mem.realloc_preserves
[22:48:40 #6] [P02] PASS mem.strdup
[22:48:40 #7] [P02] PASS mem.strndup
[22:48:40 #8] [P02] PASS mem.free_null
[22:48:40 #9] [P02] PASS strbuf.init
[22:48:40 #10] [P02] PASS strbuf.append_str
[22:48:40 #11] [P02] PASS strbuf.append_char
[22:48:40 #12] [P02] PASS strbuf.embedded_nul
[22:48:40 #13] [P02] PASS strbuf.clear_keeps_cap
[22:48:40 #14] [P02] PASS strbuf.printf
[22:48:40 #15] [P02] PASS strbuf.grow_500
[22:48:40 #16] [P02] PASS strbuf.detach
[22:48:40 #17] [P02] PASS strbuf.detach_resets
[22:48:40 #18] [P02] PASS strbuf.free_idempotent
[22:48:40 #19] [P02] PASS dynarray.init
[22:48:40 #20] [P02] PASS dynarray.push_100_grow
[22:48:40 #21] [P02] PASS dynarray.get_mid
[22:48:40 #22] [P02] PASS dynarray.last
[22:48:40 #23] [P02] PASS dynarray.pop
[22:48:40 #24] [P02] PASS dynarray.get_oob_null
[22:48:40 #25] [P02] PASS dynarray.free
[22:48:40 #26] [P02] PASS strmap.create
[22:48:40 #27] [P02] PASS strmap.put_get
[22:48:40 #28] [P02] PASS strmap.replace_value
[22:48:40 #29] [P02] PASS strmap.has_false
[22:48:40 #30] [P02] PASS strmap.get_missing_null
[22:48:40 #31] [P02] PASS strmap.200_keys_rehash
[22:48:40 #32] [P02] PASS strmap.get_after_rehash
[22:48:40 #33] [P02] PASS strmap.remove
[22:48:40 #34] [P02] PASS strmap.remove_twice_false
[22:48:40 #35] [P02] PASS strmap.survivor_intact
[22:48:40 #36] [P02] PASS strmap.foreach_null_fn_safe
[22:48:40 #37] [P02] PASS strmap.destroy
[22:48:40 #38] [P02] PASS lpat.trim_spaces
[22:48:40 #39] [P02] PASS lpat.trim_empty
[22:48:40 #40] [P02] PASS lpat.trim_only_spaces
[22:48:40 #41] [P02] PASS lpat.scheme_split
[22:48:40 #42] [P02] PASS lpat.scheme_no_match
[22:48:40 #43] [P02] PASS lpat.host_path_no_match_lua
[22:48:40 #44] [P02] PASS lpat.host_bare_no_match_lua
[22:48:40 #45] [P02] PASS lpat.host_reject_spaces
[22:48:40 #46] [P02] PASS lpat.host_trailing_qmark_lua
[22:48:40 #47] [P02] PASS lpat.attr_dquote_1
[22:48:40 #48] [P02] PASS lpat.attr_dquote_2
[22:48:40 #49] [P02] PASS lpat.attr_dquote_done
[22:48:40 #50] [P02] PASS lpat.attr_squote_1
[22:48:40 #51] [P02] PASS lpat.attr_squote_2
[22:48:40 #52] [P02] PASS lpat.attr_squote_done
[22:48:40 #53] [P02] PASS lpat.pathcmd_M
[22:48:40 #54] [P02] PASS lpat.pathcmd_L
[22:48:40 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[22:48:40 #56] [P02] PASS lpat.pathcmd_done
[22:48:40 #57] [P02] PASS lpat.entity_named_amp
[22:48:40 #58] [P02] PASS lpat.entity_named_lt
[22:48:40 #59] [P02] PASS lpat.entity_named_skips_dec
[22:48:40 #60] [P02] PASS lpat.entity_decimal
[22:48:40 #61] [P02] PASS lpat.entity_hex_lower_x
[22:48:40 #62] [P02] PASS lpat.entity_hex_upper_X
[22:48:40 #63] [P02] PASS lpat.entity_hex_done
[22:48:40 #64] [P02] PASS lpat.charset_utf8
[22:48:40 #65] [P02] PASS lpat.http_status
[22:48:40 #66] [P02] PASS lpat.meta_refresh_url_upper
[22:48:40 #67] [P02] PASS lpat.meta_refresh_frac
[22:48:40 #68] [P02] PASS lpat.viewbox_four_caps
[22:48:40 #69] [P02] PASS lpat.tag_div_attrs
[22:48:40 #70] [P02] PASS lpat.tag_br_selfclose
[22:48:40 #71] [P02] PASS lpat.tag_close_not_matched
[22:48:40 #72] [P02] PASS lpat.css_prop_lua_truth
[22:48:40 #73] [P02] PASS lpat.cookie_pair
[22:48:40 #74] [P02] PASS lpat.tokens_a
[22:48:40 #75] [P02] PASS lpat.tokens_bb
[22:48:40 #76] [P02] PASS lpat.tokens_ccc
[22:48:40 #77] [P02] PASS lpat.tokens_done
[22:48:40 #78] [P02] PASS lpat.lazy_dash
[22:48:40 #79] [P02] PASS lpat.greedy_star
[22:48:40 #80] [P02] PASS lpat.endpunct_true
[22:48:40 #81] [P02] PASS lpat.endpunct_false
[22:48:40 #82] [P02] PASS lpat.escape_dot
[22:48:40 #83] [P02] PASS lpat.escape_percent
[22:48:40 #84] [P02] PASS lpat.escape_dash_outside_set
[22:48:40 #85] [P02] PASS lpat.gsub_fn_hexdecode
