=== PlutoBrowser crash log ===
gamePath: unknown
[13:08:07 #1] PlutoBrowser boot (C port of CometBrowser)
[13:08:07 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[13:08:07 #3] [P02] util selftests begin
[13:08:07 #4] [P02] PASS mem.malloc
[13:08:07 #5] [P02] PASS mem.realloc_preserves
[13:08:07 #6] [P02] PASS mem.strdup
[13:08:07 #7] [P02] PASS mem.strndup
[13:08:07 #8] [P02] PASS mem.free_null
[13:08:07 #9] [P02] PASS strbuf.init
[13:08:07 #10] [P02] PASS strbuf.append_str
[13:08:07 #11] [P02] PASS strbuf.append_char
[13:08:07 #12] [P02] PASS strbuf.embedded_nul
[13:08:07 #13] [P02] PASS strbuf.clear_keeps_cap
[13:08:07 #14] [P02] PASS strbuf.printf
[13:08:07 #15] [P02] PASS strbuf.grow_500
[13:08:07 #16] [P02] PASS strbuf.detach
[13:08:07 #17] [P02] PASS strbuf.detach_resets
[13:08:07 #18] [P02] PASS strbuf.free_idempotent
[13:08:07 #19] [P02] PASS dynarray.init
[13:08:07 #20] [P02] PASS dynarray.push_100_grow
[13:08:07 #21] [P02] PASS dynarray.get_mid
[13:08:07 #22] [P02] PASS dynarray.last
[13:08:07 #23] [P02] PASS dynarray.pop
[13:08:07 #24] [P02] PASS dynarray.get_oob_null
[13:08:07 #25] [P02] PASS dynarray.free
[13:08:07 #26] [P02] PASS strmap.create
[13:08:07 #27] [P02] PASS strmap.put_get
[13:08:07 #28] [P02] PASS strmap.replace_value
[13:08:07 #29] [P02] PASS strmap.has_false
[13:08:07 #30] [P02] PASS strmap.get_missing_null
[13:08:07 #31] [P02] PASS strmap.200_keys_rehash
[13:08:07 #32] [P02] PASS strmap.get_after_rehash
[13:08:07 #33] [P02] PASS strmap.remove
[13:08:07 #34] [P02] PASS strmap.remove_twice_false
[13:08:07 #35] [P02] PASS strmap.survivor_intact
[13:08:07 #36] [P02] PASS strmap.foreach_null_fn_safe
[13:08:07 #37] [P02] PASS strmap.destroy
[13:08:07 #38] [P02] PASS lpat.trim_spaces
[13:08:07 #39] [P02] PASS lpat.trim_empty
[13:08:07 #40] [P02] PASS lpat.trim_only_spaces
[13:08:07 #41] [P02] PASS lpat.scheme_split
[13:08:07 #42] [P02] PASS lpat.scheme_no_match
[13:08:07 #43] [P02] PASS lpat.host_path_no_match_lua
[13:08:07 #44] [P02] PASS lpat.host_bare_no_match_lua
[13:08:07 #45] [P02] PASS lpat.host_reject_spaces
[13:08:07 #46] [P02] PASS lpat.host_trailing_qmark_lua
[13:08:07 #47] [P02] PASS lpat.attr_dquote_1
[13:08:07 #48] [P02] PASS lpat.attr_dquote_2
[13:08:07 #49] [P02] PASS lpat.attr_dquote_done
[13:08:07 #50] [P02] PASS lpat.attr_squote_1
[13:08:07 #51] [P02] PASS lpat.attr_squote_2
[13:08:07 #52] [P02] PASS lpat.attr_squote_done
[13:08:07 #53] [P02] PASS lpat.pathcmd_M
[13:08:07 #54] [P02] PASS lpat.pathcmd_L
[13:08:07 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[13:08:07 #56] [P02] PASS lpat.pathcmd_done
[13:08:07 #57] [P02] PASS lpat.entity_named_amp
[13:08:07 #58] [P02] PASS lpat.entity_named_lt
[13:08:07 #59] [P02] PASS lpat.entity_named_skips_dec
[13:08:07 #60] [P02] PASS lpat.entity_decimal
[13:08:07 #61] [P02] PASS lpat.entity_hex_lower_x
[13:08:07 #62] [P02] PASS lpat.entity_hex_upper_X
[13:08:07 #63] [P02] PASS lpat.entity_hex_done
[13:08:07 #64] [P02] PASS lpat.charset_utf8
[13:08:07 #65] [P02] PASS lpat.http_status
[13:08:07 #66] [P02] PASS lpat.meta_refresh_url_upper
[13:08:07 #67] [P02] PASS lpat.meta_refresh_frac
[13:08:07 #68] [P02] PASS lpat.viewbox_four_caps
[13:08:07 #69] [P02] PASS lpat.tag_div_attrs
[13:08:07 #70] [P02] PASS lpat.tag_br_selfclose
[13:08:07 #71] [P02] PASS lpat.tag_close_not_matched
[13:08:07 #72] [P02] PASS lpat.css_prop_lua_truth
[13:08:07 #73] [P02] PASS lpat.cookie_pair
[13:08:07 #74] [P02] PASS lpat.tokens_a
[13:08:07 #75] [P02] PASS lpat.tokens_bb
[13:08:07 #76] [P02] PASS lpat.tokens_ccc
[13:08:07 #77] [P02] PASS lpat.tokens_done
[13:08:07 #78] [P02] PASS lpat.lazy_dash
[13:08:07 #79] [P02] PASS lpat.greedy_star
[13:08:07 #80] [P02] PASS lpat.endpunct_true
[13:08:07 #81] [P02] PASS lpat.endpunct_false
[13:08:07 #82] [P02] PASS lpat.escape_dot
[13:08:07 #83] [P02] PASS lpat.escape_percent
[13:08:07 #84] [P02] PASS lpat.escape_dash_outside_set
[13:08:07 #85] [P02] PASS lpat.gsub_fn_hexdecode
[13:08:07 #86] [P02] PASS lpat.gsub_fn_encode
[13:08:07 #87] [P02] PASS lpat.find_init_offset
[13:08:07 #88] [P02] PASS lpat.find_plain
[13:08:07 #89] [P02] PASS lpat.find_plain_miss
[13:08:07 #90] [P02] PASS lpat.gsub_template_trim
[13:08:07 #91] [P02] PASS lpat.gsub_crlf
[13:08:07 #92] [P02] PASS lpat.gsub_count3
[13:08:07 #93] [P02] PASS lpat.gsub_empty_matches
[13:08:07 #94] [P02] PASS lpat.negclass_A
[13:08:07 #95] [P02] PASS lpat.negclass_done
[13:08:07 #96] [P02] PASS lpat.set_leading_bracket
[13:08:07 #97] [P02] PASS lpat.nul_subject_first
[13:08:07 #98] [P02] PASS lpat.nul_subject_second
[13:08:07 #99] [P02] PASS lpat.nul_subject_done
[13:08:07 #100] [P02] PASS lpat.position_capture
[13:08:07 #101] [P02] PASS lpat.balance
[13:08:07 #102] [P02] PASS lpat.frontier_THE
[13:08:07 #103] [P02] PASS lpat.frontier_quick
[13:08:07 #104] [P02] PASS lpat.frontier_fox
[13:08:07 #105] [P02] PASS lpat.frontier_done
[13:08:07 #106] [P02] PASS lpat.opt_without_u
[13:08:07 #107] [P02] PASS lpat.opt_with_u
[13:08:07 #108] [P02] PASS lpat.ip_anchor_ok
[13:08:07 #109] [P02] PASS lpat.ip_anchor_trailing_fail
[13:08:07 #110] ERROR: luapattern: malformed pattern (missing ])  ||  stack: src/util/luapattern.c:79
[13:08:07 #111] [P02] PASS lpat.malformed_set_err
