=== PlutoBrowser crash log ===
gamePath: unknown
[00:33:00 #1] PlutoBrowser boot (C port of CometBrowser)
[00:33:00 #2] constants: screen=400x240 chrome=24 contentY=24 contentH=216
[00:33:00 #3] [P02] util selftests begin
[00:33:00 #4] [P02] PASS mem.malloc
[00:33:00 #5] [P02] PASS mem.realloc_preserves
[00:33:00 #6] [P02] PASS mem.strdup
[00:33:00 #7] [P02] PASS mem.strndup
[00:33:00 #8] [P02] PASS mem.free_null
[00:33:00 #9] [P02] PASS strbuf.init
[00:33:00 #10] [P02] PASS strbuf.append_str
[00:33:00 #11] [P02] PASS strbuf.append_char
[00:33:00 #12] [P02] PASS strbuf.embedded_nul
[00:33:00 #13] [P02] PASS strbuf.clear_keeps_cap
[00:33:00 #14] [P02] PASS strbuf.printf
[00:33:00 #15] [P02] PASS strbuf.grow_500
[00:33:00 #16] [P02] PASS strbuf.detach
[00:33:00 #17] [P02] PASS strbuf.detach_resets
[00:33:00 #18] [P02] PASS strbuf.free_idempotent
[00:33:00 #19] [P02] PASS dynarray.init
[00:33:00 #20] [P02] PASS dynarray.push_100_grow
[00:33:00 #21] [P02] PASS dynarray.get_mid
[00:33:00 #22] [P02] PASS dynarray.last
[00:33:00 #23] [P02] PASS dynarray.pop
[00:33:00 #24] [P02] PASS dynarray.get_oob_null
[00:33:00 #25] [P02] PASS dynarray.free
[00:33:00 #26] [P02] PASS strmap.create
[00:33:00 #27] [P02] PASS strmap.put_get
[00:33:00 #28] [P02] PASS strmap.replace_value
[00:33:00 #29] [P02] PASS strmap.has_false
[00:33:00 #30] [P02] PASS strmap.get_missing_null
[00:33:00 #31] [P02] PASS strmap.200_keys_rehash
[00:33:00 #32] [P02] PASS strmap.get_after_rehash
[00:33:00 #33] [P02] PASS strmap.remove
[00:33:00 #34] [P02] PASS strmap.remove_twice_false
[00:33:00 #35] [P02] PASS strmap.survivor_intact
[00:33:00 #36] [P02] PASS strmap.foreach_null_fn_safe
[00:33:00 #37] [P02] PASS strmap.destroy
[00:33:00 #38] [P02] PASS lpat.trim_spaces
[00:33:00 #39] [P02] PASS lpat.trim_empty
[00:33:00 #40] [P02] PASS lpat.trim_only_spaces
[00:33:00 #41] [P02] PASS lpat.scheme_split
[00:33:00 #42] [P02] PASS lpat.scheme_no_match
[00:33:00 #43] [P02] PASS lpat.host_path_no_match_lua
[00:33:00 #44] [P02] PASS lpat.host_bare_no_match_lua
[00:33:00 #45] [P02] PASS lpat.host_reject_spaces
[00:33:00 #46] [P02] PASS lpat.host_trailing_qmark_lua
[00:33:00 #47] [P02] PASS lpat.attr_dquote_1
[00:33:00 #48] [P02] PASS lpat.attr_dquote_2
[00:33:00 #49] [P02] PASS lpat.attr_dquote_done
[00:33:00 #50] [P02] PASS lpat.attr_squote_1
[00:33:00 #51] [P02] PASS lpat.attr_squote_2
[00:33:00 #52] [P02] PASS lpat.attr_squote_done
[00:33:00 #53] [P02] PASS lpat.pathcmd_M
[00:33:00 #54] [P02] PASS lpat.pathcmd_L
[00:33:00 #55] [P02] PASS lpat.pathcmd_Z_empty_arg
[00:33:00 #56] [P02] PASS lpat.pathcmd_done
[00:33:00 #57] [P02] PASS lpat.entity_named_amp
[00:33:00 #58] [P02] PASS lpat.entity_named_lt
[00:33:00 #59] [P02] PASS lpat.entity_named_skips_dec
[00:33:00 #60] [P02] PASS lpat.entity_decimal
[00:33:00 #61] [P02] PASS lpat.entity_hex_lower_x
[00:33:00 #62] [P02] PASS lpat.entity_hex_upper_X
[00:33:00 #63] [P02] PASS lpat.entity_hex_done
[00:33:00 #64] [P02] PASS lpat.charset_utf8
[00:33:00 #65] [P02] PASS lpat.http_status
[00:33:00 #66] [P02] PASS lpat.meta_refresh_url_upper
[00:33:00 #67] [P02] PASS lpat.meta_refresh_frac
[00:33:00 #68] [P02] PASS lpat.viewbox_four_caps
[00:33:00 #69] [P02] PASS lpat.tag_div_attrs
[00:33:00 #70] [P02] PASS lpat.tag_br_selfclose
[00:33:00 #71] [P02] PASS lpat.tag_close_not_matched
[00:33:00 #72] [P02] PASS lpat.css_prop_lua_truth
[00:33:00 #73] [P02] PASS lpat.cookie_pair
[00:33:00 #74] [P02] PASS lpat.tokens_a
[00:33:00 #75] [P02] PASS lpat.tokens_bb
[00:33:00 #76] [P02] PASS lpat.tokens_ccc
[00:33:00 #77] [P02] PASS lpat.tokens_done
[00:33:00 #78] [P02] PASS lpat.lazy_dash
[00:33:00 #79] [P02] PASS lpat.greedy_star
